date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:52	23320/23320	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff	(from http://getbootstrap.com/)
15:45:52	62926/62926	---MC-	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.svg	(from http://getbootstrap.com/)
15:45:52	41280/41280	---MC-	200	added ('OK')	application/x-font-ttf	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.ttf	(from http://getbootstrap.com/)
15:45:53	108407/108407	---M--	200	added ('OK')	application/javascript	etag:%2272f0f1790566b36d63303c509ae12aff%22	https://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/Bootstrap/platform.twitter.com/widgets.js	(from )
15:45:53	64481/64481	---MC-	200	added ('OK')	text/html	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/getting-started/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/getting-started/index.html	(from http://getbootstrap.com/)
15:45:54	22590/22590	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/starter-template.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/starter-template.jpg	(from http://getbootstrap.com/)
15:46:04	85467/85467	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/theme.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/theme.jpg	(from http://getbootstrap.com/)
15:46:08	68573/68573	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/jumbotron-narrow.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/jumbotron-narrow.jpg	(from http://getbootstrap.com/)
15:46:10	99951/99951	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/grid.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/grid.jpg	(from http://getbootstrap.com/)
15:46:11	40956/40956	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/navbar.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/navbar.jpg	(from http://getbootstrap.com/)
15:46:11	101215/101215	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/jumbotron.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/jumbotron.jpg	(from http://getbootstrap.com/)
15:46:14	39671/39671	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/navbar-static.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/navbar-static.jpg	(from http://getbootstrap.com/)
15:46:16	37932/37932	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/examples/screenshots/navbar-fixed.jpg	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/examples/screenshots/navbar-fixed.jpg	(from http://getbootstrap.com/)
